epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2392.89,1.78307,3.87344,1.08502,0.9659,0.7348,0.46027,0.61012,0.25966,0.23767,0.12086,0.14366,0.05635,1.98247,4.44074,1.20225,1.03469,0.000687625,0.000687625,0.000687625
55,2436.06,1.76366,3.81597,1.10111,0.97307,0.68573,0.44918,0.58607,0.24957,0.22819,0.11211,0.13525,0.06162,2.03453,4.47373,1.28173,1.05168,0.00066444,0.00066444,0.00066444
56,2479.26,1.77737,3.84738,1.1347,0.97355,0.69712,0.44142,0.59243,0.27044,0.2395,0.122,0.14289,0.04231,1.93408,4.32489,1.25912,1.0173,0.000641347,0.000641347,0.000641347
57,2522.64,1.77661,3.83826,1.09615,0.97033,0.71947,0.48795,0.62922,0.28001,0.21756,0.11699,0.13897,0.05551,1.95505,4.54464,1.20028,1.02357,0.000618369,0.000618369,0.000618369
58,2565.88,1.73066,3.81965,1.08251,0.95955,0.72322,0.39536,0.57934,0.2512,0.27882,0.10382,0.1693,0.06907,2.07131,4.43202,1.24222,1.05173,0.000595529,0.000595529,0.000595529
59,2609.17,1.71014,3.80588,1.05062,0.95805,0.5928,0.43073,0.52558,0.22647,0.24023,0.12849,0.14202,0.0535,2.12174,4.33189,1.40491,1.06845,0.000572848,0.000572848,0.000572848
60,2652.75,1.70907,3.80807,1.08634,0.95067,0.56855,0.45466,0.52649,0.23466,0.22013,0.13717,0.13597,0.05976,1.96708,4.32191,1.25378,1.03658,0.000550349,0.000550349,0.000550349
61,2696.22,1.73486,3.81273,1.08434,0.96959,0.73345,0.4227,0.57984,0.26024,0.24424,0.11445,0.14791,0.0564,1.98764,4.40398,1.36206,1.04179,0.000528055,0.000528055,0.000528055
62,2739.58,1.72424,3.78738,1.05217,0.96405,0.64207,0.48715,0.58334,0.2549,0.23388,0.13744,0.14642,0.05455,1.9502,4.28386,1.32435,1.02489,0.000505987,0.000505987,0.000505987
63,2782.98,1.73235,3.83204,1.05655,0.96062,0.66883,0.44644,0.56324,0.24974,0.26131,0.1331,0.16087,0.06022,1.99465,4.37728,1.25226,1.04147,0.000484168,0.000484168,0.000484168
64,2826.37,1.72949,3.8351,1.0628,0.95752,0.7035,0.42097,0.57986,0.25798,0.22589,0.10355,0.13481,0.05123,1.97032,4.40547,1.27001,1.04918,0.000462618,0.000462618,0.000462618
65,2869.67,1.67208,3.75409,1.01951,0.95191,0.68362,0.46763,0.59998,0.27014,0.22816,0.12501,0.14435,0.05668,1.95263,4.39782,1.26495,1.04761,0.000441359,0.000441359,0.000441359
66,2913.21,1.6902,3.79952,1.01599,0.95794,0.73168,0.44149,0.60102,0.27861,0.25879,0.11999,0.16088,0.06406,1.94327,4.33301,1.21973,1.04006,0.000420412,0.000420412,0.000420412
67,2956.73,1.72399,3.8693,1.06902,0.96224,0.64906,0.47311,0.57932,0.25056,0.22486,0.12882,0.14247,0.05308,2.00553,4.45907,1.26592,1.05014,0.000399798,0.000399798,0.000399798
68,3000.48,1.67724,3.78484,1.04173,0.95191,0.69946,0.48541,0.61892,0.27502,0.23246,0.12855,0.14701,0.05493,1.94905,4.38812,1.27465,1.03867,0.000379537,0.000379537,0.000379537
69,3044.07,1.65575,3.75823,0.9949,0.94729,0.75381,0.48962,0.63963,0.29225,0.2444,0.13336,0.15626,0.0634,1.91054,4.43452,1.12528,1.01771,0.000359649,0.000359649,0.000359649
70,3087.57,1.68595,3.74562,1.02966,0.95341,0.60937,0.49724,0.56777,0.23987,0.23947,0.14947,0.15139,0.05468,1.99037,4.34482,1.37805,1.04822,0.000340153,0.000340153,0.000340153
71,3130.85,1.65082,3.78383,1.00991,0.94262,0.688,0.47177,0.60381,0.26596,0.23335,0.13062,0.15026,0.06343,1.97409,4.40449,1.19474,1.03164,0.000321069,0.000321069,0.000321069
72,3174.18,1.63844,3.75377,0.99583,0.94863,0.69762,0.47418,0.60872,0.26833,0.26667,0.14038,0.17082,0.07172,1.95731,4.38999,1.19546,1.0399,0.000302417,0.000302417,0.000302417
73,3217.51,1.69075,3.83863,1.01792,0.95561,0.74612,0.46067,0.62032,0.27534,0.22539,0.11571,0.14183,0.05984,1.89662,4.31079,1.19212,1.02109,0.000284213,0.000284213,0.000284213
74,3260.93,1.64049,3.74719,1.00517,0.94887,0.68423,0.48394,0.60588,0.26611,0.24188,0.12822,0.14771,0.05577,1.94125,4.44959,1.21796,1.0269,0.000266476,0.000266476,0.000266476
75,3304.08,1.66959,3.75968,0.99658,0.95392,0.65766,0.4824,0.597,0.26783,0.22648,0.13717,0.1482,0.06018,1.9426,4.41691,1.20755,1.02903,0.000249224,0.000249224,0.000249224
76,3347.56,1.6362,3.72679,0.98546,0.96136,0.67758,0.48086,0.60233,0.26636,0.23361,0.13711,0.14931,0.06009,1.91484,4.40537,1.20755,1.02594,0.000232473,0.000232473,0.000232473
77,3390.87,1.61701,3.77008,0.95534,0.95246,0.71695,0.47331,0.61148,0.2851,0.23189,0.12835,0.14677,0.05724,1.90392,4.39852,1.17632,1.02463,0.000216241,0.000216241,0.000216241
78,3434.51,1.62247,3.72576,1.01288,0.94959,0.67456,0.48494,0.59809,0.25959,0.24809,0.14466,0.16043,0.06052,1.95481,4.36359,1.20608,1.0336,0.000200543,0.000200543,0.000200543
79,3478.19,1.65801,3.83219,1.00132,0.94861,0.72012,0.48374,0.62354,0.27675,0.23533,0.12975,0.15433,0.0606,1.94861,4.46315,1.191,1.03317,0.000185394,0.000185394,0.000185394
80,3521.88,1.61184,3.71767,0.9847,0.93785,0.75076,0.47478,0.63007,0.28331,0.25152,0.1355,0.15933,0.05827,1.9124,4.41669,1.1834,1.01516,0.00017081,0.00017081,0.00017081
81,3565.25,1.60856,3.76033,0.96579,0.94021,0.72611,0.46916,0.61456,0.27871,0.2308,0.12594,0.15156,0.06158,1.94608,4.49389,1.20572,1.03233,0.000156805,0.000156805,0.000156805
82,3608.68,1.62593,3.73619,0.97527,0.9355,0.72168,0.47351,0.62645,0.28299,0.23538,0.12915,0.15564,0.06042,1.90105,4.44583,1.203,1.02773,0.000143393,0.000143393,0.000143393
83,3652.31,1.6382,3.80465,0.99947,0.94484,0.70982,0.50714,0.63587,0.27732,0.26913,0.15763,0.17266,0.06677,1.93526,4.44498,1.19425,1.02996,0.000130587,0.000130587,0.000130587
84,3695.41,1.67554,3.85163,0.99951,0.94561,0.72415,0.50145,0.63564,0.2815,0.24594,0.14058,0.15611,0.05977,1.93973,4.46061,1.18492,1.04243,0.000118399,0.000118399,0.000118399
85,3738.95,1.59415,3.76783,0.96143,0.93377,0.72172,0.47545,0.62258,0.27828,0.24335,0.12982,0.15294,0.06044,1.93634,4.38116,1.16787,1.03487,0.000106842,0.000106842,0.000106842
86,3788.07,1.7922,3.75341,1.00038,0.98823,0.73194,0.46655,0.62099,0.28171,0.24043,0.12768,0.15336,0.0629,1.92104,4.41625,1.18723,1.03573,9.59277e-05,9.59277e-05,9.59277e-05
87,3829.09,1.75988,3.78855,0.98036,0.98723,0.73883,0.46395,0.61879,0.28453,0.2497,0.13377,0.16173,0.06161,1.91541,4.41527,1.17666,1.03144,8.56659e-05,8.56659e-05,8.56659e-05
88,3870.16,1.74627,3.7665,0.96964,0.98683,0.72785,0.49971,0.63911,0.27965,0.24196,0.1341,0.15608,0.06334,1.93888,4.51093,1.18837,1.04027,7.60672e-05,7.60672e-05,7.60672e-05
89,3911.18,1.74987,3.72915,0.96653,0.98641,0.71612,0.4969,0.62828,0.27444,0.25579,0.14941,0.16719,0.06382,1.95893,4.4294,1.19145,1.0445,6.7141e-05,6.7141e-05,6.7141e-05
90,3952.57,1.77652,3.77914,0.98532,0.98125,0.7181,0.4963,0.63202,0.28321,0.26069,0.1468,0.17031,0.06339,1.95065,4.44782,1.14291,1.04586,5.8896e-05,5.8896e-05,5.8896e-05
91,3993.72,1.76715,3.83937,0.97991,0.97189,0.71136,0.49938,0.63333,0.28163,0.24223,0.14633,0.15688,0.06121,1.94314,4.4735,1.17067,1.03675,5.13405e-05,5.13405e-05,5.13405e-05
92,4034.74,1.74256,3.76483,0.95651,0.98467,0.72054,0.49724,0.6348,0.28292,0.24564,0.14673,0.1599,0.06177,1.93458,4.48489,1.15152,1.03682,4.44819e-05,4.44819e-05,4.44819e-05
93,4075.79,1.73224,3.74838,0.94862,0.97228,0.70568,0.50219,0.62973,0.28268,0.24477,0.14994,0.1633,0.06068,1.93263,4.49053,1.15768,1.03963,3.8327e-05,3.8327e-05,3.8327e-05
94,4116.99,1.74935,3.72703,0.97186,0.98444,0.7202,0.49904,0.6363,0.28539,0.23513,0.13697,0.15332,0.05981,1.93306,4.46391,1.16139,1.04031,3.28818e-05,3.28818e-05,3.28818e-05
95,4157.91,1.73369,3.75616,0.94404,0.97831,0.71096,0.49136,0.62544,0.2847,0.24402,0.13951,0.15828,0.06145,1.92196,4.45834,1.15736,1.03766,2.81517e-05,2.81517e-05,2.81517e-05
96,4198.92,1.73822,3.77424,0.94054,0.9896,0.70597,0.4961,0.62449,0.28124,0.24742,0.1464,0.16209,0.06301,1.9159,4.4598,1.1481,1.03702,2.41414e-05,2.41414e-05,2.41414e-05
97,4239.71,1.714,3.71496,0.94907,0.98141,0.73386,0.50479,0.64431,0.29054,0.24533,0.14165,0.15893,0.06092,1.92198,4.44352,1.14879,1.03582,2.08548e-05,2.08548e-05,2.08548e-05
98,4280.76,1.71196,3.78094,0.94752,0.97632,0.72871,0.50519,0.64412,0.28635,0.24697,0.1446,0.1609,0.06069,1.9258,4.45864,1.14946,1.03745,1.82952e-05,1.82952e-05,1.82952e-05
99,4321.78,1.72395,3.76834,0.94785,0.97543,0.71448,0.50586,0.63586,0.28529,0.24262,0.14386,0.1597,0.06009,1.92867,4.45531,1.16417,1.03763,1.64652e-05,1.64652e-05,1.64652e-05
100,4362.78,1.70089,3.71706,0.94332,0.97907,0.69152,0.50413,0.6263,0.2811,0.23279,0.14353,0.15279,0.05924,1.92483,4.44426,1.17019,1.03737,1.53664e-05,1.53664e-05,1.53664e-05
