epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2720.88,1.7845,3.85325,1.12028,0.97713,0.61259,0.43788,0.54218,0.24147,0.22093,0.13751,0.14006,0.04009,2.00651,4.33252,1.24354,1.0245,0.000528055,0.000528055,0.000528055
62,2758.47,1.75874,3.82527,1.09403,0.96098,0.68905,0.48614,0.6144,0.27229,0.21872,0.12354,0.13171,0.04168,1.82866,4.27798,1.20195,1.00052,0.000505987,0.000505987,0.000505987
63,2809.16,1.75891,3.86659,1.08105,0.95957,0.63219,0.43447,0.54745,0.24048,0.1921,0.10796,0.1229,0.03886,2.01991,4.38753,1.25997,1.03059,0.000484168,0.000484168,0.000484168
64,2849.79,1.7637,3.8662,1.09094,0.95617,0.67244,0.47204,0.60473,0.26376,0.20373,0.10776,0.12662,0.03977,1.94342,4.43152,1.22348,1.02193,0.000462618,0.000462618,0.000462618
65,2889.51,1.71039,3.79691,1.05497,0.95029,0.66788,0.46903,0.58795,0.26503,0.17932,0.11298,0.11173,0.03886,1.92775,4.31471,1.23224,1.01654,0.000441359,0.000441359,0.000441359
66,2943.32,1.71883,3.83213,1.05172,0.95858,0.79936,0.44075,0.63412,0.27621,0.18243,0.08477,0.11503,0.03343,1.93427,4.41787,1.16466,1.01986,0.000420412,0.000420412,0.000420412
67,2981.57,1.77168,3.90368,1.08837,0.96877,0.67839,0.4691,0.59729,0.25537,0.2173,0.11926,0.14451,0.04284,1.96716,4.31409,1.11916,1.02679,0.000399798,0.000399798,0.000399798
68,3022.51,1.71222,3.81795,1.067,0.94903,0.68753,0.47785,0.6094,0.26896,0.21867,0.121,0.13452,0.04186,1.92236,4.33745,1.17508,1.01702,0.000379537,0.000379537,0.000379537
69,3072.33,1.6909,3.80104,1.02455,0.94708,0.76007,0.46174,0.62326,0.2825,0.26238,0.13176,0.15721,0.05343,1.93894,4.39565,1.18678,1.02373,0.000359649,0.000359649,0.000359649
70,3110.64,1.7151,3.76991,1.05085,0.95438,0.70712,0.47217,0.62141,0.27905,0.24024,0.12454,0.14589,0.04827,1.88767,4.32618,1.15025,1.00374,0.000340153,0.000340153,0.000340153
71,3146.09,1.69474,3.81752,1.04027,0.94753,0.64849,0.47364,0.58379,0.24875,0.23262,0.13557,0.15115,0.05438,2.01051,4.32988,1.21246,1.03626,0.000321069,0.000321069,0.000321069
